epoch,mean_entropy,file_count,total_bytes
1784971789.035,4.6912,10000,17363707
1784971789.640,4.6912,10000,17363707
1784971790.244,4.6912,10000,17363707
1784971790.847,4.6912,10000,17363707
1784971791.461,4.6912,10000,17363707
1784971792.067,4.6912,10000,17363707
1784971792.665,4.6912,10000,17363707
1784971793.271,4.6912,10000,17363707
1784971793.877,4.6912,10000,17363707
