window_idx,window_start_s,bytes_read_per_sec,bytes_written_per_sec,rw_volume_ratio,file_deletion_rate,file_rename_rate,target_extension_velocity,seq_vs_random_disk_ratio,urandom_bytes_per_sec,mmap_brk_rate,mprotect_rate,futex_rate,net_packet_rate,net_byte_volume,unique_dest_ip_rate,dns_query_rate,connection_failure_rate,child_spawn_rate,execve_rate,syscall_sequence_entropy,io_burstiness_std,dir_ops,drop_rate,ransom_note_hits,library_call_rate_openssl,vmrss_kb,mean_file_entropy,time_to_first_encryption_s,encryption_slope,file_entropy_delta
32,3.2,403900,1233740,0.3274,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,1.5564,16423.4431,0,0,0,0,0,0.0,0.0277,0.0035,0.0
33,3.3,388600,1183780,0.3283,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,1.5597,4121.0654,0,0,0,0,0,0.0,0.0277,0.0035,0.0
34,3.4,354900,1079700,0.3287,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,1.5578,6896.1388,0,0,0,0,0,0.0,0.0277,0.0035,0.0
35,3.5,183700,556730,0.33,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,1.5604,26452.9903,0,0,0,0,0,0.0,0.0277,0.0035,0.0
37,3.7,259100,788200,0.3287,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,1.5636,22868.5142,0,0,0,0,0,0.0,0.0277,0.0035,0.0
38,3.8,243400,739810,0.329,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,1.5536,16862.1852,0,0,0,0,0,0.0,0.0277,0.0035,0.0
39,3.9,243000,732690,0.3317,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,1.5652,8074.5194,0,0,0,0,0,0.0,0.0277,0.0035,0.0
40,4.0,256600,780500,0.3288,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1.5589,2210.3356,0,0,0,0,0,0.0,0.0277,0.0035,0.0
41,4.1,240600,736250,0.3268,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,1.5555,2379.632,0,0,0,0,0,0.0,0.0277,0.0035,0.0
42,4.2,248100,753820,0.3291,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,1.5603,1748.0115,0,0,0,0,0,0.0,0.0277,0.0035,0.0
43,4.3,201900,617560,0.3269,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,1.5556,5592.2089,0,0,0,0,0,0.0,0.0277,0.0035,0.0
44,4.4,217800,659240,0.3304,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,1.562,6115.5299,0,0,0,0,0,0.0,0.0277,0.0035,0.0
45,4.5,214900,657850,0.3267,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,1.555,5159.7661,0,0,0,0,0,0.0,0.0277,0.0035,0.0
47,4.7,235400,710180,0.3315,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,1.5585,3115.7865,0,0,0,0,0,0.0,0.0277,0.0035,0.0
48,4.8,230300,707220,0.3256,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,1.5594,2249.6374,0,0,0,0,0,0.0,0.0277,0.0035,0.0
49,4.9,233000,708210,0.329,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,1.5534,1996.5648,0,0,0,0,0,0.0,0.0277,0.0035,0.0
50,5.0,227800,686290,0.3319,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,1.5656,1075.0324,0,0,0,0,0,0.0,0.0277,0.0035,0.0
51,5.1,240700,735460,0.3273,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,1.5562,1562.0158,0,0,0,0,0,0.0,0.0277,0.0035,0.0
52,5.2,248200,757970,0.3275,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,1.5569,2495.8865,0,0,0,0,0,0.0,0.0277,0.0035,0.0
53,5.3,248200,757970,0.3275,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,1.5578,2820.0921,0,0,0,0,0,0.0,0.0277,0.0035,0.0
54,5.4,243800,741400,0.3288,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,1.5623,2632.7673,0,0,0,0,0,0.0,0.0277,0.0035,0.0
56,5.6,246000,750080,0.328,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,1.5634,1326.9359,0,0,0,0,0,0.0,0.0277,0.0035,0.0
57,5.7,251100,764100,0.3286,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,1.5541,1454.3628,0,0,0,0,0,0.0,0.0277,0.0035,0.0
58,5.8,243100,738420,0.3292,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,1.5594,1372.5931,0,0,0,0,0,0.0,0.0277,0.0035,0.0
59,5.9,233000,709810,0.3283,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,1.5582,1928.4084,0,0,0,0,0,0.0,0.0277,0.0035,0.0
60,6.0,243700,738810,0.3299,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,1.561,1787.438,0,0,0,0,0,0.0,0.0277,0.0035,0.0
61,6.1,251500,768060,0.3274,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5572,2102.2817,0,0,0,0,0,0.0,0.0277,0.0035,0.0
62,6.2,256500,780300,0.3287,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.5621,2480.3912,0,0,0,0,0,0.0,0.0277,0.0035,0.0
63,6.3,253500,763700,0.3319,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5615,2509.8141,0,0,0,0,0,0.0,0.0277,0.0035,0.0
65,6.5,258600,787200,0.3285,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1.5533,3394.1396,0,0,0,0,0,0.0,0.0277,0.0035,0.0
66,6.6,248600,756400,0.3287,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5647,3359.444,0,0,0,0,0,0.0,0.0277,0.0035,0.0
67,6.7,246200,748900,0.3287,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,1.5556,3133.1045,0,0,0,0,0,0.0,0.0277,0.0035,0.0
68,6.8,116600,349170,0.3339,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,1.5636,16175.2386,0,0,0,0,0,0.0,0.0277,0.0035,0.0
69,6.9,373500,1137380,0.3284,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,1.558,24979.3988,0,0,0,0,0,0.0,0.0277,0.0035,0.0
70,7.0,248100,758560,0.3271,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,1.5562,24933.6465,0,0,0,0,0,0.0,0.0277,0.0035,0.0
71,7.1,227100,692590,0.3279,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,1.5628,25031.7571,0,0,0,0,0,0.0,0.0277,0.0035,0.0
72,7.2,116300,352520,0.3299,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,1.5528,29319.2072,0,0,0,0,0,0.0,0.0277,0.0035,0.0
74,7.4,417100,1266530,0.3293,0,0,1610,0,0,0,0,0,0,0,0,0,0,0,0,1.5601,29618.7064,0,0,0,0,0,0.0,0.0277,0.0035,0.0
75,7.5,420200,1281750,0.3278,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,1.5575,36702.073,0,0,0,0,0,0.0,0.0277,0.0035,0.0
76,7.6,409200,1245000,0.3287,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,1.5619,38625.0867,0,0,0,0,0,0.0,0.0277,0.0035,0.0
77,7.7,344700,1046130,0.3295,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,1.5562,24092.5174,0,0,0,0,0,0.0,0.0277,0.0035,0.0
78,7.8,412300,1250740,0.3296,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,1.5606,8690.158,0,0,0,0,0,0.0,0.0277,0.0035,0.0
79,7.9,181300,550020,0.3296,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,1.5608,27530.6091,0,0,0,0,0,0.0,0.0277,0.0035,0.0
80,8.0,139900,432710,0.3233,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,1.5556,34759.8169,0,0,0,0,0,0.0,0.0277,0.0035,0.0
81,8.1,105900,314600,0.3366,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,1.565,36436.7095,0,0,0,0,0,0.0,0.0277,0.0035,0.0
82,8.2,308200,940070,0.3278,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,1.5573,34738.7716,0,0,0,0,0,0.0,0.0277,0.0035,0.0
84,8.4,106100,321360,0.3302,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,1.5483,23309.6128,0,0,0,0,0,0.0,0.0277,0.0035,0.0
85,8.5,87900,269140,0.3266,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,1.5551,24883.2665,0,0,0,0,0,0.0,0.0277,0.0035,0.0
86,8.6,98500,299600,0.3288,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,1.5694,25053.7372,0,0,0,0,0,0.0,0.0277,0.0035,0.0
87,8.7,217900,661020,0.3296,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,1.5557,14228.5289,0,0,0,0,0,0.0,0.0277,0.0035,0.0
88,8.8,462700,1407120,0.3288,0,0,1790,0,0,0,0,0,0,0,0,0,0,0,0,1.5597,43177.9134,0,0,0,0,0,0.0,0.0277,0.0035,0.0
89,8.9,409500,1243370,0.3293,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,1.5602,47198.1266,0,0,0,0,0,0.0,0.0277,0.0035,0.0
90,9.0,348900,1060580,0.329,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,1.5599,40312.6704,0,0,0,0,0,0.0,0.0277,0.0035,0.0
91,9.1,437200,1333070,0.328,0,0,1690,0,0,0,0,0,0,0,0,0,0,0,0,1.5578,26647.2711,0,0,0,0,0,0.0,0.0277,0.0035,0.0
93,9.3,250800,761130,0.3295,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,1.5609,30269.784,0,0,0,0,0,0.0,0.0277,0.0035,0.0
94,9.4,212500,648770,0.3275,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,1.5566,29412.7516,0,0,0,0,0,0.0,0.0277,0.0035,0.0
95,9.5,150300,459570,0.327,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,31194.85,0,0,0,0,0,0.0,0.0277,0.0035,0.0
96,9.6,121700,370300,0.3287,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,1.5503,13824.5564,0,0,0,0,0,0.0,0.0277,0.0035,0.0
97,9.7,191600,582210,0.3291,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,1.5598,13769.7004,0,0,0,0,0,0.0,0.0277,0.0035,0.0
98,9.8,193900,591090,0.328,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,1.5593,10102.2678,0,0,0,0,0,0.0,0.0277,0.0035,0.0
99,9.9,150100,456800,0.3286,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,1.567,8373.5664,0,0,0,0,0,0.0,0.0277,0.0035,0.0
100,10.0,259600,789200,0.3289,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1.5558,14185.0069,0,0,0,0,0,0.0,0.0277,0.0035,0.0
102,10.2,111400,338210,0.3294,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,1.5605,17344.9071,0,0,0,0,0,0.0,0.0277,0.0035,0.0
103,10.3,165800,503510,0.3293,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,1.56,17659.4553,0,0,0,0,0,0.0,0.0277,0.0035,0.0
104,10.4,204800,626850,0.3267,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,1.5548,16767.3483,0,0,0,0,0,0.0,0.0277,0.0035,0.0
105,10.5,214800,652120,0.3294,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,1.5605,14479.3204,0,0,0,0,0,0.0,0.0277,0.0035,0.0
106,10.6,87900,265350,0.3313,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,1.5647,15354.6727,0,0,0,0,0,0.0,0.0277,0.0035,0.0
107,10.7,90600,277950,0.326,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,1.5534,16585.5383,0,0,0,0,0,0.0,0.0277,0.0035,0.0
108,10.8,88000,265430,0.3315,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,1.5647,18145.1409,0,0,0,0,0,0.0,0.0277,0.0035,0.0
109,10.9,201900,612030,0.3299,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,1.5614,17809.819,0,0,0,0,0,0.0,0.0277,0.0035,0.0
111,11.1,144800,447910,0.3233,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,1.5836,22296.0605,0,0,0,0,0,0.0,0.0277,0.0035,0.0
